O1A,567274.594993,4315422.12106
O2A,567324.045426,4315380.7712
O3A,567328.264714,4315377.24309
O4A,567382.707106,4315331.71901

O1B,567466.3368,4315261.606
O2B,567516.1509,4315219.869
O3B,567520.3668,4315216.337
O4B,567574.8737,4315170.936

O1C,567653.716999,4315104.68113
O2C,567713.067564,4315055.01995
O3C,567717.285699,4315051.49045
O4C,567786.689082,4314993.41764

O1D,567880.493587,4314914.93841
O2D,567940.008905,4314865.14807
O3D,567944.227343,4314861.61894
O4D,568013.52103,4314803.64805

O1E,568107.35708,4314725.09684
O2E,568151.908997,4314687.80462
O3E,568156.126493,4314684.27436
O4E,568205.577191,4314642.8816

