O1A,567274.594993,4315422.12106
O1A,567324.045426,4315380.7712
O1A,567328.264714,4315377.24309
O1A,567382.707106,4315331.71901
O1A,567433.138278,4315289.54908

O2A,567237.435317,4315377.98562
O2A,567287.026869,4315336.47327
O2A,567291.244294,4315332.94292
O2A,567345.581954,4315287.45768
O2A,567395.958031,4315245.28861

O3A,567223.09652,4315360.74968
O3A,567272.584514,4315319.32807
O3A,567276.802109,4315315.79793
O3A,567331.376015,4315270.11939
O3A,567381.435756,4315228.21922

O4A,567197.845003,4315310.55225
O4A,567237.540844,4315277.37852
O4A,567241.76115,4315273.85162
O4A,567296.169384,4315228.38278
O4A,567346.530583,4315186.29603

O5A,567198.395922,4315281.18524
O5A,567223.230955,4315260.40788
O5A,567227.449356,4315256.8787
O5A,567281.992798,4315211.24685
O5A,567331.809307,4315169.56962

O1B,567466.3368,4315261.606
O1B,567516.1509,4315219.869
O1B,567520.3668,4315216.337
O1B,567574.8737,4315170.936
O1B,567619.9877,4315133.093

O2B,567429.466553,4315217.25501
O2B,567479.237229,4315175.60122
O2B,567483.455008,4315172.0713
O2B,567537.806345,4315126.58388
O2B,567583.159162,4315088.62746

O3B,567415.044106,4315200.1293
O3B,567464.76776,4315158.52808
O3B,567468.986092,4315154.99882
O3B,567523.45502,4315109.42747
O3B,567568.689481,4315071.58213

O4B,567380.050983,4315158.43866
O4B,567429.83979,4315116.76034
O4B,567434.057179,4315113.22996
O4B,567488.498879,4315067.6567
O4B,567533.751751,4315029.77543

O5B,567365.844666,4315140.90692
O5B,567415.289526,4315099.55801
O5B,567419.508658,4315096.02971
O5B,567474.036092,4315050.43042
O5B,567519.293338,4315012.58346

O1C,567653.716999,4315104.68113
O1C,567713.067564,4315055.01995
O1C,567717.285699,4315051.49045
O1C,567786.689082,4314993.41764
O1C,567846.826706,4314943.09788

O2C,567616.656951,4315060.63184
O2C,567676.235352,4315010.77073
O2C,567680.453164,4315007.24085
O2C,567749.663323,4314949.31893
O2C,567809.899043,4314898.90771

O3C,567602.099106,4315043.63383
O3C,567661.750033,4314993.72282
O3C,567665.96822,4314990.19339
O3C,567735.423849,4314932.0786
O3C,567795.669469,4314881.67

O4C,567567.476697,4315001.70055
O4C,567626.892089,4314951.99075
O4C,567631.11042,4314948.46149
O4C,567700.436913,4314890.45958
O4C,567760.753322,4314839.99595

O5C,567553.431751,4314985.29391
O5C,567603.200128,4314943.66365
O5C,567607.418809,4314940.1348
O5C,567669.413302,4314888.27764
O5C,567746.927464,4314823.43858

O1D,567880.493587,4314914.93841
O1D,567940.008905,4314865.14807
O1D,567944.227343,4314861.61894
O1D,568013.52103,4314803.64805
O1D,568073.641783,4314753.34973

O2D,567843.667434,4314870.83257
O2D,567903.070734,4314821.06648
O2D,567907.286745,4314817.53445
O2D,567976.678353,4314759.40048
O2D,568036.682286,4314709.1312

O3D,567829.189935,4314853.61369
O3D,567888.722842,4314803.78461
O3D,567892.940442,4314800.25448
O3D,567962.222088,4314742.2657
O3D,568022.528236,4314691.78941

O4D,567794.256216,4314812.02219
O4D,567853.730765,4314762.2556
O4D,567857.948842,4314758.72603
O4D,567927.338214,4314700.663
O4D,567987.339173,4314650.45592

O5D,567779.903027,4314794.44919
O5D,567839.150165,4314744.87601
O5D,567843.368351,4314741.34657
O5D,567912.717474,4314683.32087
O5D,567972.881836,4314632.98023

O1E,568107.35708,4314725.09684
O1E,568151.908997,4314687.80462
O1E,568156.126493,4314684.27436
O1E,568205.577191,4314642.8816
O1E,568250.989191,4314604.86944

O2E,568070.258256,4314681.11135
O2E,568115.025555,4314643.67728
O2E,568119.244388,4314640.14862
O2E,568168.69966,4314598.75062
O2E,568214.042595,4314560.78933

O3E,568055.833056,4314663.98972
O3E,568100.615898,4314626.50136
O3E,568104.833262,4314622.97094
O3E,568154.225584,4314581.62392
O3E,568199.651384,4314543.59733

O4E,568021.355305,4314622.03029
O4E,568065.824219,4314584.82865
O4E,568070.042701,4314581.29957
O4E,568119.550902,4314539.88219
O4E,568164.917443,4314501.92962

O5E,568006.696252,4314604.64649
O5E,568051.109552,4314567.48923
O5E,568055.327934,4314563.96003
O5E,568104.858736,4314522.52134
O5E,568150.128192,4314484.6478

